index,input_TL,output_han,output_TL,option
14991,oothng,烏糖,oo-thn̂g,
14992,oothngke,烏糖粿,oo-thn̂g-kué/oo-thn̂g-ké,
14993,oothngkue,烏糖粿,oo-thn̂g-kué/oo-thn̂g-ké,
14994,oothoo,挖塗,óo-thôo/ué-thôo,
14995,oothoo,烏塗,oo-thôo,
14996,ootiap,蝴蝶,ôo-tia̍p,
14997,ootinnatshai,烏甜仔菜,oo-tinn-á-tshài,
14998,ooto,烏道,oo-tō,
14999,ootooang,烏𪐞紅,oo-tòo-âng,
15000,oots,烏焦瘦,oo-ta-sán,
15001,ootshenn,烏青,,
15002,ootshennginghueh,烏青凝血,oo-tshenn gîng-hueh/oo-tshinn gîng-huih,
15003,ootshgh,烏青凝血,oo-tshenn gîng-hueh/oo-tshinn gîng-huih,
15004,ootshi,烏市,oo-tshī,
15005,ootshinn,烏青,,
15006,ootshinnginghuih,烏青凝血,oo-tshenn gîng-hueh/oo-tshinn gîng-huih,
15007,ootshiu,烏手,oo-tshiú,
15008,ootshiu,烏鶖,oo-tshiu,
15009,ootshiunn,烏鯧,oo-tshiunn,
15010,ootshoo,烏醋,oo-tshòo,
15011,ootshpa,烏喙筆仔,oo-tshuì-pit-á,
15012,ootshuipita,烏喙筆仔,oo-tshuì-pit-á,
15013,ootsintsu,烏真珠,oo-tsin-tsu,
15014,ootso,烏棗,oo-tsó,
15015,ootsts,烏真珠,oo-tsin-tsu,
15016,opi,奧祕,,
15017,opop,喔喔,,
15018,ora,吪仔,,
15019,ora,蚵仔,ô-á,
15020,orgior,薁蕘,ò-giô,
15021,orkhe,河溪,hô-khe/hô-khue,
15022,orlor,呵咾,o-ló,
15023,ote,蚵炱,ô-te,
15024,otsiu,澳洲,,
15025,oun,奧運,ò-ūn,
15026,paa,飯盒仔,pn̄g-a̍h-á,
15027,paak,把握,pá-ak,
15028,pabian,罷免,pā-bián,
15029,pabin,飽眠,pá-bîn,
15030,pabuan,飽滿,pá-muá,
15031,paeh,飽呃,pá-eh,
15032,pah,痱仔粉,puì-á-hún,
15033,pahban,百萬,pah-bān,
15034,pahhe,百貨,,
15035,pahhekongsi,百貨公司,pah-huè kong-si/pah-hè kong-si,
15036,pahhue,百貨,,
15037,pahhuekongsi,百貨公司,pah-huè kong-si/pah-hè kong-si,
15038,pahhunpi,百分比,pah-hun-pí,
15039,pahhuntsipah,百分之百,pah-hun-tsi-pah,
15040,pahi,把戲,pá-hì,
15041,pahiunn,百樣,pah iūnn,
15042,pahji,百二,pah-jī/pah-lī,
15043,pahjit,百日,,
15044,pahjitang,百日紅,pah-ji̍t-âng/pah-li̍t-âng,
15045,pahjitsau,百日嗽,pah-ji̍t-sàu/pah-li̍t-sàu,
15046,pahkho,百科,pah-kho,
15047,pahkingkun,百襇裙,pah-kíng-kûn,
15048,pahli,百二,pah-jī/pah-lī,
15049,pahlit,百日,,
15050,pahlitang,百日紅,pah-ji̍t-âng/pah-li̍t-âng,
15051,pahlitsau,百日嗽,pah-ji̍t-sàu/pah-li̍t-sàu,
15052,pahni,百年,pah-nî,
15053,pahpah,爸爸,,
15054,pahpahkhang,百百空,pah-pah-khang,
15055,pahpootsua,百步蛇,pah-pōo-tsuâ,
15056,pahpuann,百般,pah-puann,
15057,pahsennkonga,百姓公仔,,
15058,paia,牌仔,pâi-á,
15059,paiathau,棑仔頭,pâi-á-thâu,
15060,paibong,拜墓,,
15061,paihai,敗害,pāi-hāi,
15062,paihang,排行,pâi-hâng,
15063,paihau,拜候,pài-hāu,
15064,paihe,拜會,pài-huē,
15065,paihong,拜訪,pài-hóng,
15066,paihong,排放,pâi-hòng,
15067,paihuai,敗壞,pāi-huāi,
15068,paihue,拜會,pài-huē,
15069,paihuehtsing,敗血症,pāi-hueh-tsìng/pāi-huih-tsìng,
15070,paihuihtsing,敗血症,pāi-hueh-tsìng/pāi-huih-tsìng,
15071,paiian,排演,pâi-ián,
15072,paiit,拜一,pài-it,
15073,paikai,排解,pâi-kái,
15074,paike,敗家,pāi-ke,
15075,paike,敗價,pāi-kè,
15076,paikha,跛跤,pái-kha,
15077,paikha,瘸跤,khuê-kha/khê-kha,
15078,paikhi,排氣,pâi-khì,
15079,paikiu,排球,pâi-kiû,
15080,paikongma,拜公媽,pài kong-má,
15081,paikutsoo,排骨酥,pâi-kut-soo,
15082,pailian,排練,pâi-liān,
15083,pailiat,排列,pâi-lia̍t,
15084,pailoo,敗露,pāi-lōo,
15085,pailuan,排卵,pâi-luán,
15086,paimia,排名,pâi-miâ,
15087,paimngkhau,拜門口,,
15088,paini,拜年,pài-nî,
15089,painnkha,跛跤,pái-kha,
15090,paipai,拜拜,pài-pài,
15091,paipan,排版,pâi-pán,
15092,paipan,排班,pâi-pan,
15093,paiphio,拜票,pài-phiò,
15094,paiphior,拜票,pài-phiò,
15095,paiput,拜佛,pài-pu̍t,
15096,paisiat,擺設,,
15097,paisin,敗腎,pāi-sīn,
15098,paithik,排斥,pâi-thik,
15099,paithok,拜託,pài-thok,
15100,paithuat,擺脫,pái-thuat,
15101,paiti,排除,pâi-tû,
15102,paitir,排除,pâi-tû,
15103,paitng,拜堂,,
15104,paitshi,敗市,pāi-tshī,
15105,paitshut,排出,pâi-tshut,
15106,paitsiau,牌照,pâi-tsiàu,
15107,paitsio,牌照,pâi-tsiàu,
15108,paitsu,牌子,,
15109,paitsui,排水,pâi-tsuí,
15110,paitsuikau,排水溝,,
15111,paitu,排除,pâi-tû,
15112,paitui,排隊,pâi-tuī,
15113,paiuantsok,排灣族,,
15114,pajin,飽仁,pá-jîn/pá-lîn,
15115,pak,保安宮,Pó-an-kiong,附錄
15116,pak,箅仔骨,pín-á-kut,
15117,pakang,罷工,pā-kang,
15118,pakau,北歐,Pak-au,
15119,pakbi,北美,,附錄
15120,pakbikuan,北美館,pak-bí-kuán,
15121,pakbitsiu,北美洲,Pak-bí-tsiu,
15122,pakgiko,北二高,Pak-jī-ko/pak-lī-ko,
15123,pakhaito,北海道,,
15124,pakhaphuansuann,北合歡山,Pak-ha̍p-huan-suann,附錄
15125,pakhng,北方,pak-hong,
15126,pakhong,北方,pak-hong,
15127,pakhuan,霸權,pà-khuân,
15128,pakhui,北緯,,
15129,pakiat,巴結,pa-kiat,
15130,pakjiko,北二高,Pak-jī-ko/pak-lī-ko,
15131,pakjikor,北二高,Pak-jī-ko/pak-lī-ko,
15132,pakkangkhe,北港溪,Pak-káng-khe,附錄
15133,pakkangtin,北港鎮,Pak-káng-tìn,附錄
15134,pakkanhiong,北竿鄉,Pak-kan-hiong,附錄
15135,pakkha,縛跤,pa̍k-kha,
15136,pakkhapoo,縛跤布,,
15137,pakkhu,北區,pak-khu,
15138,pakkiann,北京,Pak-kiann,
15139,pakkik,北極,pak-ki̍k,
15140,pakkiktian,北極殿,Pak-ki̍k-tiān,附錄
15141,pakkuan,北管,pak-kuán,
15142,paklai,腹內,,
15143,pakliko,北二高,Pak-jī-ko/pak-lī-ko,
15144,paklikor,北二高,Pak-jī-ko/pak-lī-ko,
15145,pakmng,北門,Pak-mn̂g,附錄
15146,pakmnghiong,北門鄉,,附錄
15147,pakmngsu,北門嶼,Pak-mn̂g-sū,附錄
15148,pakphe,剝皮,pak-phuê/pak-phê,
15149,pakphue,剝皮,pak-phuê/pak-phê,
15150,pakping,北爿,pak-pîng,
15151,pakpoo,北埔,Pak-poo,附錄
15152,pakpoo,北部,pak-pōo,
15153,pakpoohiong,北埔鄉,Pak-poo-hiong,附錄
15154,pakpuannkiu,北半球,Pak-puànn-kiû,
15155,paksiah,剝削,pak-siah,
15156,paksikhe,北勢溪,Pak-sì-khe,附錄
15157,paktau,北投,,附錄
15158,paktaukhu,北投區,Pak-tâu-khu,附錄
15159,paktautin,北斗鎮,Pak-táu-tìn,附錄
15160,paktng,腹腸,,附錄
15161,paktoo,腹肚,pak-tóo,
15162,paktoobe,腹肚尾,pak-tóo-bué/pak-tóo-bé,
15163,paktoobue,腹肚尾,pak-tóo-bué/pak-tóo-bé,
15164,paktooiau,腹肚枵,pak-tóo-iau,
15165,paktsang,縛粽,pa̍k tsàng,
15166,paktshahthiansuann,北插天山,Pak-tshah-thian-suann,附錄
15167,paktshahthinnsuann,北插天山,Pak-tshah-thian-suann,附錄
15168,paktshan,贌田,pa̍k-tshân,
15169,paktunkhu,北屯區,Pak-tūn-khu,附錄
15170,pakuan,霸權,pà-khuân,
15171,pakui,飽膭,pá-kuī,
15172,palang,巴郎,pa-lang,
15173,pale,芭蕾,pa-lê,
15174,palebu,芭蕾舞,,
15175,palikok,吧哩嘓,Pa-lí-kok,附錄
15176,palin,飽仁,pá-jîn/pá-lîn,
15177,paling,巴陵,Pa-lîng,附錄
15178,palong,巴陵,Pa-lîng,附錄
15179,palongue,巴壟衛,Pa-lóng-ué,附錄
15180,pamua,飽滿,pá-muá,
15181,pana,板仔,pán-á,
15182,panan,辦案,pān-àn,
15183,panbe,斑馬,pan-má,
15184,panbesuann,斑馬線,pan-má-suànn,
15185,panbin,版面,pán-bīn,
15186,panga,枋仔,pang-á,
15187,pangbang,幫忙,pang-bâng,
15188,pangbok,放牧,pàng-bo̍k,
15189,pangboo,枋模,pang-bôo,
15190,panggiokhooa,放尿褲仔,,
15191,pangha,放下,,
15192,panghe,放火,pàng-hué/pàng-hé,
15193,panghongsiann,放風聲,pàng-hong-siann,
15194,panghua,放符仔,pàng-hû-á,
15195,panghue,放火,pàng-hué/pàng-hé,
15196,panghueh,放血,pàng-hueh/pàng-huih,
15197,panghuih,放血,pàng-hueh/pàng-huih,
15198,panghuntsiau,放粉鳥,pàng-hún-tsiáu,
15199,pangi,便宜,pân-gî,
15200,pangianhe,放煙火,pàng-ian-hué/pàng-ian-hé,
15201,pangianhue,放煙火,pàng-ian-hué/pàng-ian-hé,
15202,pangjio,放尿,,
15203,pangka,放假,pàng-ká,
15204,pangkang,放工,pàng-kang,
15205,pangkau,邦交,pang-kau,
15206,pangkhang,放空,pàng-khang,
15207,pangkhangiann,放空營,,
15208,pangkhui,放開,pàng--khui,
15209,pangking,房間,pâng-king,
15210,pangkio,板橋,Pang-kiô,附錄
15211,pangkiothau,枋橋頭,Pang-kiô-thâu,附錄
15212,pangkiotshi,板橋市,,附錄
15213,pangkiu,棒球,pāng-kiû,
15214,panglau,放流,,
15215,pangliau,枋寮,Pang-liâu,附錄
15216,pangliauhiong,枋寮鄉,Pang-liâu-hiong,附錄
15217,pangling,放冗,pàng-līng,
15218,panglio,放尿,,
15219,pangmng,房門,,
15220,pangnng,放卵,pàng-nn̄g,
15221,pangoh,放學,pàng-o̍h,
15222,pangok,房屋,pâng-ok,
15223,pangorh,放學,pàng-o̍h,
15224,pangphai,幫派,pang-phài,
15225,pangphio,綁票,páng-phiò,
15226,pangphuh,幫浦,,
15227,pangphui,放屁,pàng-phuì,
15228,pangphuitau,放屁豆,pàng-phuì-tāu,
15229,pangpoo,放裒,pàng-pôo,
15230,pangpuann,崩盤,pang-puânn,
15231,pangsai,放屎,pàng-sái,
15232,pangsak,放捒,pàng-sak,
15233,pangsang,放鬆,pàng-sang,
15234,pangsann,縫衫,pâng-sann,
15235,pangsat,放捒,pàng-sak,
15236,pangsiann,放聲,pàng-siann,
15237,pangsiau,放數,pàng-siàu,
15238,pangsuann,枋山,Pang-suann,附錄
15239,pangsuann,崩山,pang-suann,
15240,pangsuannhiong,枋山鄉,Pang-suann-hiong,附錄
15241,pangtanglai,放重利,pàng tāng-lāi,
15242,pangteresan,房地產,pâng-tē-sán/pâng-tuē-sán,
15243,pangtesan,房地產,pâng-tē-sán/pâng-tuē-sán,
15244,pangthau,房頭,pâng-thâu,
15245,pangthiapa,放帖仔,pàng-thiap-á,
15246,pangthinn,縫紩,pâng-thīnn,
15247,pangtiau,放刁,pàng-tiau,
15248,pangtiau,封條,hong-tiâu,
15249,pangtok,放毒,pàng-to̍k,
15250,pangtoo,枋堵,pang-tóo,
15251,pangtsan,幫贊,pang-tsān,
15252,pangtse,放債,pàng-tsè,
15253,pangtshauphui,放臭屁,pàng-tshàu-phuì,
15254,pangtshi,房市,pâng-tshī,
15255,pangtshiu,放手,pàng-tshiú,
15256,pangtsinpong,放盡磅,pàng-tsīn-pōng,
15257,pangtsoo,幫助,pang-tsōo,
15258,pangtsuiting,放水燈,pàng-tsuí-ting,
15259,pangtuesan,房地產,pâng-tē-sán/pâng-tuē-sán,
15260,panhe,辦貨,pān-huè/pān-hè,
15261,panhuat,頒發,pan-huat,
15262,panhuat,辦法,pān-huat,
15263,panhue,辦貨,pān-huè/pān-hè,
15264,panian,扮演,pān-ián,
15265,pankah,斑鴿,pan-kah,
15266,pankelai,扳過來,pian--kuè-lâi/pian--kè-lâi,
15267,pankhuan,版權,pán-khuân,
15268,pankip,班級,pan-kip,
15269,pankong,辦公,pān-kong,
15270,pankonghea,扮公伙仔,pān-kong-hué-á/pān-kong-hé-á,
15271,pankonghea,扮公貨仔,,
15272,pankonghera,扮公伙仔,pān-kong-hué-á/pān-kong-hé-á,
15273,pankonghuea,扮公伙仔,pān-kong-hué-á/pān-kong-hé-á,
15274,pankongsik,辦公室,pān-kong-sik,
15275,pankongtoh,辦公桌,,
15276,pankoohera,扮姑伙仔,,
15277,pankoolea,扮咕咧仔,,
15278,pankuan,版權,pán-khuân,
15279,pankuelai,扳過來,pian--kuè-lâi/pian--kè-lâi,
15280,panla,板膋,pán-lâ,
15281,panli,辦理,pān-lí,
15282,panliau,板嘹,pán-liâu,
15283,panma,斑馬,pan-má,
15284,panmasuann,斑馬線,pan-má-suànn,
15285,panpoo,頒佈,pan-pòo,
15286,panpun,版本,pán-pún,
15287,panse,範勢,pān-sè,
15288,pansian,扮仙,pān-sian,
15289,pansiong,班上,,
15290,pansir,辦事,pān-sū,
15291,pansirtshir,辦事處,pān-sū-tshù,
15292,pansirtshu,辦事處,pān-sū-tshù,
15293,pansit,扁食,pián-si̍t,
15294,pansu,辦事,pān-sū,
15295,pansutshu,辦事處,pān-sū-tshù,
15296,pantiunn,班長,pan-tiúnn,
15297,pantoh,辦桌,pān-toh,
15298,pantoo,版圖,pán-tôo,
15299,pantsathe,斑節蝦,pan-tsat-hê,
15300,pantshiobin,扮笑面,pān-tshiò-bīn,
15301,pantsiang,頒獎,pan-tsióng,
15302,pantsiong,頒獎,pan-tsióng,
15303,pantuann,貧惰,pîn-tuānn,
15304,pantuannkut,貧惰骨,pîn-tuānn-kut,
15305,panue,版畫,pán-uē,
15306,panui,版畫,pán-uē,
15307,paong,霸王,pà-ông,
15308,papa,爸爸,,
15309,papah,爸爸,,
15310,paph,菝仔票,pa̍t-á-phiò,
15311,pasui,飽穗,pá-suī,
15312,pata,菝仔,,
15313,patai,吧台,pa-tâi,
15314,patai,吧臺,,
15315,patana,拔林,Pa̍t-á-nâ,附錄
15316,pataphio,菝仔票,pa̍t-á-phiò,
15317,pate,別个,pa̍t-ê,
15318,path,棑仔頭,pâi-á-thâu,
15319,pathang,別項,pa̍t-hāng,
15320,pathe,捌貨,bat-huè/bat-hè,
15321,pathue,捌貨,bat-huè/bat-hè,
15322,patinn,飽滇,pá-tīnn,
15323,patiunn,飽脹,pá-tiùnn,
15324,patji,捌字,bat-jī/bat-lī,
15325,patjikha,八字跤,pat-jī-kha/pat-lī-kha,
15326,patjit,別日,,
15327,patjita,別日仔,pa̍t-ji̍t-á/pa̍t-li̍t-á,
15328,patkatsiong,八家將,pat-ka-tsiòng,
15329,patkhuan,別款,pa̍t-khuán,
15330,patkiok,八腳,,
15331,patkua,八卦,pat-kuà,
15332,patkuasan,八卦山,Pat-kuà-suann,附錄
15333,patkuasuann,八卦山,Pat-kuà-suann,附錄
15334,patlang,別人,pa̍t-lâng,
15335,patli,捌字,bat-jī/bat-lī,
15336,patlihiong,八里鄉,,
15337,patlihun,八里坌,Pat-lí-hun,附錄
15338,patlikha,八字跤,pat-jī-kha/pat-lī-kha,
15339,patlit,別日,,
15340,patlita,別日仔,pa̍t-ji̍t-á/pa̍t-li̍t-á,
15341,patsh,楓仔樹,png-á-tshiū,
15342,patshi,罷市,pā-tshī,
15343,patsiah,巴脊,,
15344,patsiam,霸占,pà-tsiàm,
15345,patsian,八仙,pat-sian,
15346,patsiantoh,八仙桌,pat-sian-toh,
15347,patsiantshai,八仙綵,pat-sian-tshái,
15348,patsio,芭蕉,pa-tsio,
15349,patsiok,飽足,pá-tsiok,
15350,patsior,芭蕉,pa-tsio,
15351,patsiunn,捌想,bat-siūnn,
15352,patsui,飽水,pá-tsuí,
15353,pattah,別搭,pa̍t-tah,
15354,pattiktshi,八德市,,
15355,pattin,八珍,pat-tin,
15356,pattoo,腹肚,pak-tóo,
15357,pattsiangkhe,八掌溪,Pat-tsiáng-khe,附錄
15358,pattsilan,八芝蘭,Pat-tsi-lân,附錄
15359,pattsiongkhe,八掌溪,Pat-tsiáng-khe,附錄
15360,patui,別位,pa̍t-uī,
15361,paua,包仔,pau-á,
15362,pauann,包餡,pau-ānn,
15363,pauham,包含,pau-hâm,
15364,pauham,包涵,pau-hâm,
15365,pauhi,鮑魚,pau-hî/pau-hû,
15366,pauhok,包袱,,
15367,pauhoka,包袱仔,pau-ho̍k-á,
15368,pauhokkin,包袱巾,pau-ho̍k-kin/pau-ho̍k-kun,
15369,pauhokkun,包袱巾,pau-ho̍k-kin/pau-ho̍k-kun,
15370,pauhu,鮑魚,pau-hî/pau-hû,
15371,pauiann,包贏,pau-iânn,
15372,pauiong,包容,pau-iông,
15373,pauko,包果,,
15374,pauko,包裹,pau-kó,
15375,paukuah,包括,pau-kuat,
15376,paukuat,包括,pau-kuat,
15377,paunia,包領,pau-niá,
15378,paupak,包贌,pau-pa̍k,
15379,paupan,包辦,pau-pān,
15380,pauphe,包皮,pau-phuê/pau-phê,
15381,paupher,包皮,pau-phuê/pau-phê,
15382,pauphue,包皮,pau-phuê/pau-phê,
15383,paupng,包飯,pau-pn̄g,
15384,pausiong,包商,pau-siong,
15385,pausitthau,包穡頭,pau-sit-thâu,
15386,pautshie,包飼的,pau-tshī--ê,
15387,pautsiongte,包種茶,pau-tsióng-tê,
15388,pautsong,包裝,pau-tsong,
15389,pauui,包圍,pau-uî,
15390,pauun,包穩,pau-ún,
15391,pba,拌蠓仔,puānn báng-á,
15392,pba,報馬仔,pò-bé-á,
15393,pbj,白木耳,pe̍h-bo̍k-ní,
15394,pbk,北美館,pak-bí-kuán,
15395,pbn,白木耳,pe̍h-bo̍k-ní,
15396,pbph,磅米芳,pōng-bí-phang,
15397,pbs,斑馬線,pan-má-suànn,
15398,pbts,北美洲,Pak-bí-tsiu,
15399,pea,扒仔,,
15400,pea,耙仔,,
15401,pean,弊案,pè-àn,
15402,pebo,爸母,pē-bú,
15403,pebu,爸母,pē-bú,
15404,pehau,白喉,pe̍h-âu,
15405,pehbah,白肉,pe̍h-bah,
15406,pehbi,白米,pe̍h-bí,
15407,pehbokji,白木耳,pe̍h-bo̍k-ní,
15408,pehbokni,白木耳,pe̍h-bo̍k-ní,
15409,pehha,擘哈,,
15410,pehhia,白蟻,pe̍h-hiā,
15411,pehhoh,白鶴,pe̍h-ho̍h,
15412,pehhotin,白河鎮,,
15413,pehhui,白費,,
15414,pehhun,白雲,pe̍h-hûn,
15415,pehiu,白柚,pe̍h-iū,
15416,pehji,八字,,
15417,pehjin,白仁,pe̍h-jîn/pe̍h-lîn,
15418,pehkak,八角,peh-kak/pueh-kak,
15419,pehkhate,白跤蹄,pe̍h-kha-tê,
15420,pehkhui,擘開,peh-khui,
15421,pehkim,白金,pe̍h-kim,
15422,pehkim,擘金,peh-kim,
15423,pehkong,白講,pe̍h-kóng,
15424,pehkong,伯公,peh-kong,
15425,pehkuanpehke,懸低,,
15426,pehkuntsui,白滾水,pe̍h-kún-tsuí,
15427,pehkutshai,白韭菜,pe̍h-kú-tshài,
15428,pehlaitsiang,白內障,pe̍h-lāi-tsiàng,
15429,pehlaitsiong,白內障,pe̍h-lāi-tsiàng,
15430,pehlang,白人,pe̍h-lâng,
15431,pehlauthui,樓梯,,
15432,pehlin,白仁,pe̍h-jîn/pe̍h-lîn,
15433,pehlingsi,白翎鷥,pe̍h-līng-si,
15434,pehloo,白露,pe̍h-lōo,附錄
15435,pehloosi,白鷺鷥,,附錄
15436,pehmua,白麻,pe̍h-muâ,
15437,pehmuaiu,白麻油,pe̍h-muâ-iû,
15438,pehpaka,白腹仔,pe̍h-pak-á,
15439,pehpan,白斑,pe̍h-pan,
15440,pehpau,白包,pe̍h-pau,
15441,pehpeh,白白,pe̍h-pe̍h,
15442,pehpng,白飯,pe̍h-pn̄g,
15443,pehsah,白煠,pe̍h-sa̍h,
15444,pehsenn,百姓,peh-sènn/peh-sìnn,
15445,pehsiaksiak,白鑠鑠,pe̍h-siak-siak,
15446,pehsian,白癬,pe̍h-sián,
15447,pehsik,白色,pe̍h-sik,
15448,pehsinn,百姓,peh-sènn/peh-sìnn,
15449,pehsuahiong,白沙鄉,Pe̍h-sua-hiong,附錄
15450,pehsuann,山,,附錄
15451,pehsuatun,白沙屯,Pe̍h-sua-tun,附錄
15452,pehtai,白帶,pe̍h-tài,
15453,pehte,白茶,,
15454,pehtetshu,八塊厝,Peh-tè-tshù,附錄
15455,pehthangsi,白鶶鷥,,附錄
15456,pehthaukhiata,白頭嘓仔,,附錄
15457,pehthaukhiata,白頭鵠仔,pe̍h-thâu-khok-á,
15458,pehthaukhok,白頭鵠,,
15459,pehthaukhoka,白頭鵠仔,pe̍h-thâu-khok-á,
15460,pehthiapa,白帖仔,pe̍h-thiap-á,
15461,pehthiha,白鐵仔,pe̍h-thih-á,
15462,pehthng,白糖,pe̍h-thn̂g,
15463,pehthngtshang,白糖蔥,pe̍h-thn̂g-tshang,
15464,pehtiam,白點,,
15465,pehtio,白癜,pe̍h-tiō,
15466,pehtoo,八堵,Peh-tóo,附錄
15467,pehtshai,白菜,pe̍h-tshài,
15468,pehtshailoo,白菜滷,,
15469,pehtshangtshang,白蔥蔥,pe̍h-tshang-tshang,
15470,pehtshat,白賊,,
15471,pehtshattshita,白賊七仔,pe̍h-tsha̍t-tshit--á,
15472,pehtshatue,白賊話,pe̍h-tsha̍t-uē,
15473,pehtshi,白痴,pe̍h-tshi,
15474,pehtshi,白癡,,
15475,pehtshiunn,白鯧,pe̍h-tshiunn,
15476,pehtshoo,白醋,pe̍h-tshòo,
15477,pehtsiah,白食,pe̍h-tsia̍h,
15478,pehtsiannbobi,白汫無味,pe̍h-tsiánn-bô-bī,
15479,pehtuahi,白帶魚,pe̍h-tuà-hî/pe̍h-tuà-hû,
15480,pehtuahu,白帶魚,pe̍h-tuà-hî/pe̍h-tuà-hû,
15481,pehue,白話,pe̍h-uē,
15482,pekut,耙柫,pê-put,
15483,pelaukianniu,爸老囝幼,pē-lāu-kiánn-iù,
15484,peling,菠薐,,
15485,pelinga,菠薐仔,pue-lîng-á/pe-lîng-á,
15486,pelingtshai,菠薐菜,,
15487,pelingtsun,扒龍船,pê-lîng-tsûn,
15488,pennbin,平面,pênn-bīn/pînn-bīn,
15489,pennhuan,病患,pēnn-huān/pīnn-huān,
15490,penninn,病院,pēnn-īnn/pīnn-īnn,
15491,pennkelai,扳過來,pian--kuè-lâi/pian--kè-lâi,
15492,pennkhun,病菌,pēnn-khún/pīnn-khún,
15493,pennkiann,病囝,,
15494,pennkuelai,扳過來,pian--kuè-lâi/pian--kè-lâi,
15495,pennlang,病人,pēnn-lâng/pīnn-lâng,
15496,pennle,病例,pēnn-lē/pīnn-lē,
15497,pennli,病理,pēnn-lí/pīnn-lí,
15498,pennlik,病歷,pēnn-li̍k/pīnn-li̍k,
15499,pennnabue,坪林尾,Pînn-nâ-bé,附錄
15500,pennnahiong,坪林鄉,,附錄
15501,pennpang,病房,pēnn-pâng/pīnn-pâng,
15502,pennpenn,平平,pênn-pênn/pînn-pînn,
15503,pennpian,病變,pēnn-piàn/pīnn-piàn,
15504,pennpoo,平埔,,
15505,pennpoohuan,平埔番,Pênn-poo-huan/Pînn-poo-huan,
15506,pennpun,平分,pênn-pun/pînn-pun,
15507,pennsiunnsi,病相思,pēnn-siunn-si/pīnn-siunn-si,
15508,pennsoo,坪數,pênn-sòo/pînn-sòo,
15509,pennsu,病史,pēnn-sú/pīnn-sú,
15510,penntai,平台,pênn-tâi/pînn-tâi,
15511,pennte,平地,pênn-tē/pînn-tuē,
15512,penntelang,平地人,,
15513,pennthai,病態,pēnn-thài/pīnn-thài,
15514,pennthan,平坦,pênn-thánn/pînn-thánn,
15515,pennthann,平坦,pênn-thánn/pînn-thánn,
15516,pennthe,病體,pēnn-thé/pīnn-thé,
15517,pennthiann,病疼,pēnn-thiànn/pīnn-thiànn,
15518,penntit,平直,pênn-ti̍t/pînn-ti̍t,
15519,penntok,病毒,pēnn-to̍k/pīnn-to̍k,
15520,penntshiu,平手,pênn-tshiú/pînn-tshiú,
15521,penntshng,病床,pēnn-tshn̂g/pīnn-tshn̂g,
15522,penntsiann,平正,,
15523,penntsing,病情,pēnn-tsîng/pīnn-tsîng,
15524,pephiba,白鼻猫,,
15525,pepng,扒飯,pe-pn̄g,
15526,peput,耙柫,pê-put,
15527,perboo,培墓,puē-bōng/puē-bōo,
15528,perlinga,菠薐仔,pue-lîng-á/pe-lîng-á,
15529,perlingtshai,菠薐菜,,
15530,persoo,倍數,puē-sòo,
15531,pertsun,飛船,pue-tsûn,
15532,pesik,白色,pe̍h-sik,
15533,pesiong,賠償,puê-siông/pê-siông,
15534,pesoo,倍數,puē-sòo,
15535,pethaukhiata,白頭嘓仔,,
15536,pethaukhik,白頭鴶,,
15537,pethiha,白鐵仔,pe̍h-thih-á,
15538,petshat,白賊,,
15539,petsinn,賠錢,puê-tsînn/pê-tsînn,
15540,petsionne,扒癢的,,
15541,petsirpau,揹書包,,
15542,petsiunn,扒癢,pê-tsiūnn,
15543,petuan,弊端,pè-tuan,
15544,pgj,半月日,puànn gue̍h-ji̍t/puànn ge̍h-li̍t,
15545,pgk,北二高,Pak-jī-ko/pak-lī-ko,
15546,pgk,殯儀館,pin-gî-kuán,
15547,pgkha,放尿褲仔,,
15548,pgl,半月日,puànn gue̍h-ji̍t/puànn ge̍h-li̍t,
15549,pgs,畢業生,,
15550,pha,包袱仔,pau-ho̍k-á,
15551,pha,放符仔,pàng-hû-á,
15552,pha,標會仔,pio-huē-á/pio-hē-á,
15553,pha,𥐵仔,phiat-á,
15554,pha,𥰔仔,phín-á,
15555,phabang,拋網,pha bāng,
15556,phahbatshiok,拍麻雀,phah-muâ-tshiok,
15557,phahbe,拍賣,phah-bē/phah-buē,
15558,phahbokhi,拍無去,phah-bô--khì,
15559,phahbootshai,拍某菜,phah-bóo-tshài,
15560,phahbuatshiok,拍麻雀,phah-muâ-tshiok,
15561,phahbue,拍賣,phah-bē/phah-buē,
15562,phahe,拍呃,phah-eh,
15563,phaheh,拍呃,phah-eh,
15564,phaherh,拍呃,phah-eh,
15565,phaherha,拍呃仔,,
15566,phahhi,拍戲,phah-hì,
15567,phahi,拋魚,pha-hî/pha-hû,
15568,phahjiki,拍字機,phah-jī-ki/phah-lī-ki,
15569,phahkalauh,拍交落,phah-ka-la̍uh,
15570,phahkat,拍結,phah-kat,
15571,phahkatkiu,拍結毬,phah-kat-kiû,
15572,phahkatshiunn,拍咳啾,phah-kha-tshiùnn,
15573,phahkhatshiunn,拍咳啾,phah-kha-tshiùnn,
15574,phahkhatshng,拍尻川,phah-kha-tshng,
15575,phahkima,拍金仔,phah kim-á,
15576,phahkiu,拍球,phah-kiû,
15577,phahkokke,拍咯家,,
15578,phahkokke,拍咯雞,phah-ko̍k-ke,
15579,phahkuannsi,拍官司,phah-kuann-si,
15580,phahkun,拍拳,,
15581,phahkunthau,拍拳頭,phah kûn-thâu,
